"Season","Week","DateTime","Away","Away.Pts","Away.Yds","Away.TOs","Home","Home.Pts","Home.Yds","Home.TOs","Home.Spread","Game.Spread","Game.Total"
2000,14,2000-12-04 21:09:00,"KC",24,418,3,"NE",30,368,1,-6,6,54
2000,15,2000-12-10 13:00:00,"CAR",14,257,1,"KC",15,453,4,-1,1,29
2000,15,2000-12-10 13:02:00,"ARI",10,189,1,"JAC",44,469,0,-34,34,54
2000,15,2000-12-10 13:02:00,"DET",13,293,5,"GB",26,330,2,-13,13,39
2000,15,2000-12-10 13:02:00,"NE",17,245,0,"CHI",24,339,1,-7,7,41
2000,15,2000-12-10 13:02:00,"LAC",3,128,5,"BAL",24,276,3,-21,21,27
2000,15,2000-12-10 13:02:00,"TB",16,221,1,"MIA",13,254,5,3,3,29
2000,15,2000-12-10 13:03:00,"CIN",3,171,0,"TEN",35,443,1,-32,32,38
2000,15,2000-12-10 13:03:00,"PHI",35,391,2,"CLE",24,418,4,11,11,59
2000,15,2000-12-10 13:03:00,"PIT",10,264,1,"NYG",30,394,0,-20,20,40
2000,15,2000-12-10 16:05:00,"SEA",24,405,4,"DEN",31,313,1,-7,7,55
2000,15,2000-12-10 16:15:00,"MIN",29,312,0,"LAR",40,508,0,-11,11,69
2000,15,2000-12-10 16:15:00,"NO",31,388,0,"SF",27,398,3,4,4,58
2000,15,2000-12-10 16:15:00,"WAS",13,270,2,"DAL",32,314,0,-19,19,45
2000,15,2000-12-10 20:35:00,"NYJ",7,300,4,"LV",31,330,1,-24,24,38
2000,15,2000-12-11 21:00:00,"BUF",20,294,3,"IND",44,237,0,-24,24,64
2000,16,2000-12-16 12:37:00,"WAS",3,271,5,"PIT",24,374,1,-21,21,27
2000,16,2000-12-16 16:06:00,"LV",24,361,3,"SEA",27,326,2,-3,3,51
2000,16,2000-12-17 13:00:00,"DEN",7,278,1,"KC",20,424,2,-13,13,27
2000,16,2000-12-17 13:00:00,"GB",33,434,0,"MIN",28,400,2,5,5,61
2000,16,2000-12-17 13:02:00,"DET",10,288,1,"NYJ",7,240,2,3,3,17
